population,controlled_requested_percent,profile,samples,proposal_odds_multiplier,targeted_event_count,importance_estimate,importance_95_low,importance_95_high,effective_sample_size,exact_probability,relative_error_vs_exact,estimate_kind
300,40,q60_44_41,20000,3.364864864864864,8270,6.845320284986432e-07,6.627720163282328e-07,7.062920406690536e-07,1.817870257651108,6.8540957342945004768225300886726949748910523700981627575580366414607451804022376E-7,-0.0012803219634299058,modeled_importance_sampling
300,45,q25_22_17,20000,2.8518518518518516,12863,0.013717042657349458,0.013442431352106769,0.013991653962592148,40.234451186629634,0.013702355859779873805515535652636284478043567055624611093792708617061873788162899,0.0010718447046535935,modeled_importance_sampling
300,45,q60_44_41,20000,2.7417417417417416,9146,4.360847197598096e-05,4.238401060291474e-05,4.4832933349047186e-05,6.640533401724411,0.000043096912881378503340913718770913297150057975556986514923121281007946334083900583,0.011869970733414023,modeled_importance_sampling
500,10,q25_22_17,20000,20.999999999999996,10284,3.79350234098149e-13,3.6798534353646216e-13,3.907151246598358e-13,5.1597288496700475,3.8210669059475894922111901897238999464375396861461860130238483316450539348751976E-13,-0.007213839915546764,modeled_importance_sampling
500,10,q60_44_41,20000,20.189189189189186,307,1.7657274624308824e-36,1.343470340409198e-36,2.187984584452567e-36,1.505642939990735,1.3991390262518939166234939434858090126048467809035432705631759561084776058917897E-36,0.2620100142307014,modeled_importance_sampling
500,20,q25_22_17,20000,9.333333333333332,12161,1.0587434944003316e-07,1.0299582483568934e-07,1.0875287404437698e-07,5.235297021322196,1.0629878820549232567494213147736994552537082351027167170732225502770578382108540E-7,-0.003992884327511416,modeled_importance_sampling
500,20,q60_44_41,20000,8.972972972972972,6118,1.1985005598720509e-18,1.1460701656575397e-18,1.250930954086562e-18,1.729427200956047,1.2148124893933453732634117944583889327959019765343009782448761176930275463166868E-18,-0.013427528662831204,modeled_importance_sampling
500,25,q25_22_17,20000,6.999999999999999,12602,3.972427183115375e-06,3.869851814681193e-06,4.075002551549556e-06,9.600179880587284,0.0000039453112680262566072532816754920072218730154446567440908916376109567262171547649,0.006872946960832276,modeled_importance_sampling
500,25,q60_44_41,20000,6.729729729729729,7769,3.095162100665017e-14,2.978859534278742e-14,3.211464667051292e-14,2.2825330857937187,3.0388203410256507955620301535493637246060129765504854879759075240487365750720748E-14,0.018540668192430866,modeled_importance_sampling
500,30,q25_22_17,20000,5.444444444444444,12763,6.37928024450757e-05,6.221843641684875e-05,6.536716847330264e-05,14.303145563411414,0.000063956866616419613068990810119581085713283234677427200802924607633826746633286194,-0.002565231538434889,modeled_importance_sampling
500,30,q60_44_41,20000,5.234234234234234,8622,5.6845750031484845e-11,5.487478975636322e-11,5.881671030660647e-11,15.962662449163723,5.7826140767284423789484876862658351921346671852883580364240713075615285169981765E-11,-0.016954109729457205,modeled_importance_sampling
500,33.33,q25_22_17,20000,4.6526946107784415,12821,0.0002977698601791499,0.00029061746136976933,0.00030492225898853044,15.72969453958432,0.00030379072352563538447662441205877934240217535935694625068905648916972471265626636,-0.019819115200788592,modeled_importance_sampling
500,33.33,q60_44_41,20000,4.473053892215567,9267,3.5584110062036075e-09,3.4414729613011275e-09,3.6753490511060875e-09,1.0964961845999128,3.6383304260871852558711967024473174800278922920090330717204543214782164170219739E-9,-0.02196595980138244,modeled_importance_sampling
500,35,q25_22_17,20000,4.333333333333333,12983,0.0005961099626223682,0.0005823929519378886,0.0006098269733068477,25.965357413494353,0.00058619247420893256612060705818513264454311578289856384425674156016770057226727180,0.016918484712413438,modeled_importance_sampling
500,35,q60_44_41,20000,4.166023166023166,9497,2.0072017615259158e-08,1.9431138735793038e-08,2.0712896494725278e-08,24.788162146910146,2.0532893503387848671411906616901686051608581521942796925612587908753499991445702E-8,-0.022445735086126458,modeled_importance_sampling
500,40,q25_22_17,20000,3.499999999999999,13120,0.003515728435872716,0.0034393891812193864,0.0035920676905260456,42.47283624122165,0.0035181626915403122810509505266837257330926426544078331381498796974472859917855620,-0.000691911057282721,modeled_importance_sampling
500,40,q60_44_41,20000,3.364864864864864,10214,2.1711985324883787e-06,2.1079991018539803e-06,2.234397963122777e-06,10.7648124510982,0.0000021816664212639457680838364025691526410860519303659965571586687923775652221009992,-0.004798116097649113,modeled_importance_sampling
500,45,q25_22_17,20000,2.8518518518518516,13182,0.015213910951578168,0.014911714214953993,0.015516107688202342,57.71926988646033,0.015134228684183608819124724461145181682843156552049109019504363496361844284485000,0.005265036564290393,modeled_importance_sampling
500,45,q60_44_41,20000,2.7417417417417416,10613,9.112115712379749e-05,8.871065665740226e-05,9.353165759019272e-05,8.137102015052507,0.000091327684761559142654018926223876363447814842957397269517108323521699546905864699,-0.002261391365617783,modeled_importance_sampling
1500,10,q25_22_17,20000,20.999999999999996,12687,2.293408305039579e-12,2.2273360386235005e-12,2.3594805714556578e-12,3.192535149383035,2.2732556344136134240379385518369055331214618268423245477712047702088536224505626E-12,0.008865114121300291,modeled_importance_sampling
1500,10,q60_44_41,20000,20.189189189189186,8182,2.008322428985337e-29,1.9275074478195634e-29,2.0891374101511106e-29,2.494937305358652,1.9921970112821912433775610197320604305037545899355800526117366171662552113932970E-29,0.008094288673170597,modeled_importance_sampling
1500,20,q25_22_17,20000,9.333333333333332,13110,1.963512523996035e-07,1.9099172847814207e-07,2.0171077632106496e-07,1.669569264250423,1.9964685324065803698673356508859347273819786567626480898203377661759797982291086E-7,-0.01650715144045851,modeled_importance_sampling
1500,20,q60_44_41,20000,8.972972972972972,10425,1.1673294272509215e-16,1.1263237395711312e-16,1.2083351149307119e-16,1.0586985716774706,1.1729481593848809380519097094693070133146936546750779611389662968983269382297998E-16,-0.004790264675385161,modeled_importance_sampling
1500,25,q25_22_17,20000,6.999999999999999,13181,5.904402081654768e-06,5.749324491375024e-06,6.059479671934513e-06,8.065097493977754,0.0000060382140316725213080566735502822387805512092565005707508845561717415770603632958,-0.02216084910469608,modeled_importance_sampling
1500,25,q60_44_41,20000,6.729729729729729,10965,5.898506364089075e-13,5.699286437200602e-13,6.097726290977547e-13,1.6306707470136383,6.0597228870578198442706030502078110399220414253307745836625439561848735567729947E-13,-0.026604603209342527,modeled_importance_sampling
1500,30,q25_22_17,20000,5.444444444444444,13384,8.56202118146256e-05,8.350297306470097e-05,8.773745056455022e-05,9.811926019948656,0.000085871469357382313959899419878699135830164577504653700905361251782521188390854539,-0.002925972323951081,modeled_importance_sampling
1500,30,q60_44_41,20000,5.234234234234234,11295,4.3695572025822006e-10,4.229478952263742e-10,4.509635452900659e-10,2.0343779805888653,4.4232560319578869883716089241246829720580588380529732989612811558516212436522117E-10,-0.012140113298374324,modeled_importance_sampling
1500,33.33,q25_22_17,20000,4.666666666666667,13365,0.0003695617384588522,0.00036076567579927714,0.00037835780111842725,16.1081067168354,0.00037214462213439493646193474194362109849075783741549671487102521221870299544424577,-0.006940537419911884,modeled_importance_sampling
1500,33.33,q60_44_41,20000,4.486486486486487,11316,1.6208591273018394e-08,1.570701816200819e-08,1.67101643840286e-08,17.96864999965509,1.6451371929316519423484650730929196526149874829468927031603626611102438648905474E-8,-0.01475747173799455,modeled_importance_sampling
1500,35,q25_22_17,20000,4.333333333333333,13397,0.0007278386612062955,0.0007110347903345646,0.0007446425320780264,22.3634682634813,0.00071938123281966266803741988806900215099696085812311966266243886326113021487832858,0.011756531864868615,modeled_importance_sampling
1500,35,q60_44_41,20000,4.166023166023166,11452,8.344783377799265e-08,8.094581908528648e-08,8.594984847069882e-08,8.506068466572847,8.3006332481725044456560890769552111951240410648314016326822488598222602039325109E-8,0.005318886921847896,modeled_importance_sampling
1500,40,q25_22_17,20000,3.499999999999999,13357,0.0039852420110324405,0.0038980919581141564,0.004072392063950724,53.499203062601616,0.0040478934278139037164600556084782291891994124186152908586604997216680521808550022,-0.01547753613051483,modeled_importance_sampling
1500,40,q60_44_41,20000,3.364864864864864,11567,5.607830080425739e-06,5.449897665160789e-06,5.765762495690688e-06,1.9586979454332762,0.0000056329643227759619245185489454999330846954633739334795208743773299011546700911969,-0.004461992107529736,modeled_importance_sampling
